                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.5528,                 1.0994,                 2.2218,                 1.5261,                0.33492,                0.21262,                0.19081,                0.09509,                0.33001,                 0.2095,                0.18786,                 0.0931,                      0,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     26,                 1.5403,                 1.0276,                 2.2227,                 1.5138,                0.24238,                0.15187,                  0.119,                0.04447,                0.24563,                0.15031,                0.11859,                0.04716,                      0,                      0,                    inf,                      0,               0.009175,               0.009175,               0.009175
                     27,                 1.6278,                 1.0977,                 2.2192,                 1.5513,                0.39759,                0.25598,                0.24539,                0.12536,                0.39759,                0.25598,                 0.2452,                0.12663,                      0,                      0,                    inf,                      0,               0.009142,               0.009142,               0.009142
                     28,                 1.5025,                 1.0693,                 2.2071,                 1.4721,                0.38761,                0.28505,                0.23688,                0.12828,                 0.3772,                0.28301,                0.23286,                0.12973,                      0,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     29,                 1.5638,                 1.0039,                 2.2292,                 1.5125,                0.41829,                0.28037,                0.25387,                0.13454,                0.41713,                 0.2796,                0.25381,                0.12912,                      0,                      0,                    inf,                      0,               0.009076,               0.009076,               0.009076
                     30,                 1.5323,                 1.0457,                 2.2043,                 1.4508,                0.36206,                0.28427,                0.22271,                0.11596,                0.35973,                0.28505,                0.22243,                0.11582,                      0,                      0,                    inf,                      0,               0.009043,               0.009043,               0.009043
                     31,                 1.6246,                 1.0245,                 2.2087,                 1.5465,                0.27993,                0.17991,                0.14661,                0.05517,                0.28903,                0.18458,                 0.1502,                0.05388,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     32,                 1.6068,                 1.0929,                 2.2066,                 1.4962,                0.23759,                0.14408,                0.11557,                0.04055,                0.23374,                0.14174,                0.11343,                0.03973,                      0,                      0,                    inf,                      0,               0.008977,               0.008977,               0.008977
                     33,                 1.6295,                 1.1183,                 2.2175,                 1.5354,                0.29305,                0.07009,                0.07887,                0.01885,                0.09351,                0.13396,                0.07845,                 0.0183,                      0,                      0,                    inf,                      0,               0.008944,               0.008944,               0.008944
                     34,                 1.5472,                 1.1356,                 2.2334,                 1.4853,                0.34981,                0.22741,                0.19407,                0.07856,                0.35109,                0.22975,                0.19808,                0.08351,                      0,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
